raceId,driverId,stop,lap,milliseconds_pit,positionOrder,points,laps
989,20,1,26,21787,1,25.0,58
989,1,1,19,21821,2,18.0,58
989,8,1,18,21421,3,15.0,58
989,817,1,26,21440,4,12.0,58
989,4,1,26,22573,5,10.0,58
989,830,1,21,20953,6,8.0,58
989,807,1,24,22628,7,6.0,58
989,822,1,25,21664,8,4.0,58
989,838,1,25,22474,9,2.0,58
989,832,1,22,23868,10,1.0,58
989,815,1,24,22327,11,0.0,58
989,839,1,23,21854,12,0.0,58
989,844,1,20,22242,13,0.0,58
989,844,2,27,22836,13,0.0,58
989,840,1,25,25504,14,0.0,58
989,840,2,29,21397,14,0.0,58
989,843,1,1,22213,15,0.0,57
989,843,2,22,22296,15,0.0,57
989,154,1,24,23054,16,0.0,24
989,825,1,22,21983,17,0.0,22
990,20,1,18,24524,1,25.0,57
990,822,1,20,26105,2,18.0,57
990,1,1,26,24302,3,15.0,57
990,842,1,15,24835,4,12.0,57
990,842,2,34,24957,4,12.0,57
990,825,1,13,25106,5,10.0,57
990,825,2,27,24629,5,10.0,57
990,807,1,15,24454,6,8.0,57
990,807,2,39,24382,6,8.0,57
990,4,1,14,24993,7,6.0,56
990,4,2,39,24581,7,6.0,56
990,838,1,10,25081,8,4.0,56
990,838,2,28,25131,8,4.0,56
990,828,1,23,25194,9,2.0,56
990,839,1,15,24719,10,1.0,56
990,839,2,35,24596,10,1.0,56
990,832,1,16,25768,11,0.0,56
990,832,2,26,25307,11,0.0,56
990,844,1,3,25563,12,0.0,56
990,844,2,34,25139,12,0.0,56
990,154,1,18,25011,13,0.0,56
990,154,2,30,25527,13,0.0,56
990,154,3,45,26263,13,0.0,56
990,840,1,10,33612,14,0.0,56
990,840,2,30,24638,14,0.0,56
990,845,1,22,24672,15,0.0,56
990,845,2,40,25693,15,0.0,56
990,815,1,9,24992,16,0.0,56
990,815,2,32,24677,16,0.0,56
990,843,1,20,36646,17,0.0,56
990,843,2,42,24953,17,0.0,56
990,8,1,19,25018,18,0.0,35
990,830,1,2,30381,19,0.0,3
991,817,1,17,23042,1,25.0,56
991,817,2,31,22691,1,25.0,56
991,822,1,19,22097,2,18.0,56
991,8,1,27,22913,3,15.0,56
991,1,1,18,22464,4,12.0,56
991,830,1,17,22715,5,10.0,56
991,830,2,31,22596,5,10.0,56
991,807,1,13,23654,6,8.0,56
991,807,2,31,23297,6,8.0,56
991,4,1,29,24110,7,6.0,56
991,20,1,20,23009,8,4.0,56
991,832,1,12,23935,9,2.0,56
991,832,2,31,23117,9,2.0,56
991,825,1,24,22973,10,1.0,56
991,839,1,11,23281,11,0.0,56
991,839,2,31,22637,11,0.0,56
991,815,1,12,22856,12,0.0,56
991,815,2,32,22334,12,0.0,56
991,838,1,22,23730,13,0.0,56
991,840,1,23,22661,14,0.0,56
991,845,1,28,23716,15,0.0,56
991,845,2,33,22723,15,0.0,56
991,828,1,29,22785,16,0.0,56
991,154,1,16,22981,17,0.0,56
991,154,2,46,23735,17,0.0,56
991,842,1,20,23950,18,0.0,56
991,842,2,31,34650,18,0.0,56
991,844,1,21,23392,19,0.0,56
991,843,1,10,23172,20,0.0,51
991,843,2,30,24070,20,0.0,51
992,1,1,22,20377,1,25.0,51
992,1,2,40,21329,1,25.0,51
992,8,1,1,30012,2,18.0,51
992,8,2,40,21149,2,18.0,51
992,815,1,2,28109,3,15.0,51
992,815,2,40,26174,3,15.0,51
992,20,1,30,20037,4,12.0,51
992,20,2,40,20823,4,12.0,51
992,832,1,15,21516,5,10.0,51
992,832,2,40,20967,5,10.0,51
992,844,1,24,21058,6,8.0,51
992,844,2,40,22030,6,8.0,51
992,4,2,40,21371,7,6.0,51
992,840,1,23,19737,8,4.0,51
992,840,2,40,21236,8,4.0,51
992,838,1,17,21103,9,2.0,51
992,838,2,25,20887,9,2.0,51
992,838,3,39,20760,9,2.0,51
992,838,4,46,20978,9,2.0,51
992,843,1,1,21376,10,1.0,51
992,843,2,22,20809,10,1.0,51
992,843,3,39,21072,10,1.0,51
992,828,1,1,44107,11,0.0,51
992,828,2,18,25378,11,0.0,51
992,828,3,36,32629,11,0.0,51
992,828,4,39,14998,11,0.0,51
992,842,1,12,20782,12,0.0,51
992,842,2,39,21287,12,0.0,51
992,825,1,1,35608,13,0.0,51
992,825,2,39,21778,13,0.0,51
992,822,1,40,20192,14,0.0,48
992,154,1,2,21725,15,0.0,42
992,154,2,40,22757,15,0.0,42
992,830,1,38,19765,16,0.0,39
992,817,1,37,19925,17,0.0,39
993,1,1,25,22085,1,25.0,66
993,822,1,19,23213,2,18.0,66
993,830,1,34,21740,3,15.0,66
993,20,1,17,22054,4,12.0,66
993,20,2,41,24273,4,12.0,66
993,817,1,33,21618,5,10.0,66
993,825,1,32,22917,6,8.0,65
993,832,1,25,22409,7,6.0,65
993,4,1,21,21721,8,4.0,65
993,815,1,26,22438,9,2.0,64
993,815,2,40,22242,9,2.0,64
993,844,1,20,21995,10,1.0,64
993,840,1,20,21351,11,0.0,64
993,843,1,1,22631,12,0.0,64
993,843,2,33,22472,12,0.0,64
993,828,1,35,22100,13,0.0,64
993,845,1,1,22049,14,0.0,63
993,845,2,24,22034,14,0.0,63
993,845,3,41,23865,14,0.0,63
993,838,1,34,27416,15,0.0,45
993,839,1,29,47910,16,0.0,38
994,817,1,17,24542,1,25.0,78
994,20,1,16,23964,2,18.0,78
994,1,1,12,23739,3,15.0,78
994,8,1,17,24263,4,12.0,78
994,822,1,17,24020,5,10.0,78
994,839,1,23,24663,6,8.0,78
994,842,1,37,24296,7,6.0,78
994,807,1,50,25213,8,4.0,78
994,830,1,47,24111,9,2.0,78
994,832,1,16,24874,10,1.0,78
994,828,1,17,24291,11,0.0,78
994,815,1,21,29379,12,0.0,78
994,825,1,17,24237,13,0.0,78
994,838,1,20,26817,14,0.0,77
994,838,2,72,25438,14,0.0,77
994,154,1,15,24741,15,0.0,77
994,154,2,68,24568,15,0.0,77
994,845,1,7,31810,16,0.0,77
994,845,2,19,25170,16,0.0,77
994,845,3,49,25563,16,0.0,77
994,840,1,9,33887,17,0.0,76
994,840,2,34,31104,17,0.0,76
994,840,3,59,24852,17,0.0,76
994,844,1,14,23870,18,0.0,70
994,843,1,13,24326,19,0.0,70
994,4,1,19,24241,20,0.0,52
995,20,1,37,23529,1,25.0,68
995,822,1,36,23775,2,18.0,68
995,830,1,16,23137,3,15.0,68
995,817,1,17,23279,4,12.0,68
995,1,1,16,23335,5,10.0,68
995,8,1,32,23645,6,8.0,68
995,807,1,13,24521,7,6.0,67
995,832,1,14,24416,8,4.0,67
995,839,1,11,25353,9,2.0,67
995,844,1,19,23666,10,1.0,67
995,842,1,23,24107,11,0.0,67
995,154,1,48,24400,12,0.0,67
995,825,1,22,24008,13,0.0,67
995,815,1,9,24086,14,0.0,67
995,815,2,44,23718,14,0.0,67
995,828,1,1,23529,15,0.0,66
995,838,1,1,41008,16,0.0,66
995,838,2,48,23537,16,0.0,66
995,845,1,26,23531,17,0.0,66
995,4,1,18,23099,18,0.0,40
996,1,1,33,24310,1,25.0,53
996,830,1,25,24395,2,18.0,53
996,8,1,34,24289,3,15.0,53
996,817,1,28,24309,4,12.0,53
996,20,1,1,32612,5,10.0,53
996,20,2,40,31029,5,10.0,53
996,825,1,28,25419,6,8.0,53
996,822,1,1,27955,7,6.0,53
996,822,2,39,30666,7,6.0,53
996,832,1,26,25423,8,4.0,53
996,807,1,37,25016,9,2.0,53
996,844,1,31,25026,10,1.0,53
996,154,1,34,29996,11,0.0,52
996,838,1,40,24399,12,0.0,52
996,828,1,35,24295,13,0.0,52
996,843,1,38,24297,14,0.0,52
996,845,1,1,26273,15,0.0,52
996,4,1,1,25789,16,0.0,50
996,4,2,46,24788,16,0.0,50
996,840,1,1,26576,17,0.0,48
997,830,1,15,21214,1,25.0,71
997,8,1,15,21552,2,18.0,71
997,20,1,15,23912,3,15.0,71
997,154,1,15,22121,4,12.0,70
997,825,1,28,22138,5,10.0,70
997,839,1,15,22527,6,8.0,70
997,815,1,27,22863,7,6.0,70
997,4,1,15,21588,8,4.0,70
997,844,1,15,21364,9,2.0,70
997,828,1,45,21519,10,1.0,70
997,842,1,15,22011,11,0.0,70
997,832,1,15,23257,12,0.0,70
